Symbol,Currency,Name,IB Contract ID,ISIN,Rebate Rate,Fee Rate,Available Shares
CYLN,USD,CITY LOAN INC. NEW -,132489772.0,XXXXXXX02009,4.08,0.25,10000.0
CYLO,USD,CYCLON CAPITAL CORP,48950850.0,XXXXXXXN1046,4.08,0.25,250000.0
CYLYF,USD,CEYLON GRAPHITE CORP,339390182.0,CA15722J1030,-3.0592,7.3892,25000.0
CYMHF,USD,CYMAT TECHNOLOGIES LTD,526207525.0,CA23257A2083,4.08,0.25,3000.0
CYN,USD,CYNGN INC,713909978.0,XXXXXXXB2060,-192.7011,197.0311,100000.0
CYNS,USD,CYGNUS OIL AND GAS CORP,39548516.0,XXXXXXXH1059,4.08,0.25,10000.0
CYNX,USD,CELLYNX GROUP INC,53050809.0,XXXXXXXL1017,4.08,0.25,
CYPE,USD,CENTURY PETROLEUM CORP,40365026.0,XXXXXXX11000,4.08,0.25,70000.0
CYPJ,USD,CYBER OPERATIONS INC,75219118.0,XXXXXXXE1064,4.08,0.25,300000.0
CYPS,USD,CYCLOPSS CORPORATION,44482922.0,XXXXXXX72090,4.08,0.25,900000.0
CYPW,USD,CYCLONE POWER TECHNOLOGIES,45028346.0,XXXXXXXW1045,4.08,0.25,350000.0
CYRBY,USD,CYRELA BRAZIL REALTY-SPO ADR,50530786.0,XXXXXXXC4015,4.08,0.25,35000.0
CYRD,USD,CYBERECORD INC,123279045.0,XXXXXXXY1010,4.08,0.25,300000.0
CYRNQ,USD,CYREN LTD,543626201.0,IL0010832371,4.08,0.25,250000.0
CYRS,USD,CHEYENNE RESOURCES CORP,68337509.0,XXXXXXX11039,4.08,0.25,350000.0
CYRX,USD,CRYOPORT INC,195005058.0,XXXXXXX03075,3.9178,0.4122,550000.0
CYSG,USD,CAPE SYSTEMS GROUP INC,7564966.0,XXXXXXXQ1085,4.08,0.25,3200000.0
CYSM,USD,COMMUNITY BANCORP OF SANTA,281101060.0,XXXXXXXR1032,4.0611,0.2689,7000.0
CYSNF,USD,C-COM SATELLITE SYSTEMS INC,560982665.0,CA1250091008,-2.3648,6.6948,20000.0
CYTH,USD,CYCLO THERAPEUTICS INC,459451244.0,XXXXXXXX2018,-8.0969,12.4269,300000.0
CYTK,USD,CYTOKINETICS INC,130108624.0,XXXXXXXW6057,4.0794,0.2506,3700000.0
CYTL,USD,CYBERMESH INTERNATIONAL CORP,67444507.0,XXXXXXX62081,4.08,0.25,20000.0
CYTOF,USD,ALTAMIRA THERAPEUTICS LTD,671081138.0,BMG0360L1349,-58.3231,62.6531,250000.0
CYUR,USD,CYCLONE URANIUM CORP,118833814.0,XXXXXXXT1016,4.08,0.25,200000.0
CYVF,USD,CRYSTAL VALLEY FINANCIAL CP,75220979.0,XXXXXXXP1003,4.08,0.25,10000.0
CYXI,USD,CHINA YINGXIA INTERNATIONAL,40066319.0,XXXXXXXE1038,4.08,0.25,400000.0
CZA,USD,INVESCO ZACKS MID-CAP ETF,319359329.0,XXXXXXXY4017,-6.1781,10.5081,3000.0
CZBC,USD,CITIZENS BANCORP-ORE,46692076.0,XXXXXXX01072,4.08,0.25,2000.0
CZBS,USD,CITIZENS BANCSHARES CORP,30210094.0,XXXXXXX81052,3.8402,0.4898,100000.0
CZBT,USD,CITIZENS BANCORP OF VIRGINIA,30210096.0,XXXXXXXV1044,-1.817,6.147,2000.0
CZFS,USD,CITIZENS FINANCIAL SERVICES,30210111.0,XXXXXXX51042,3.8474,0.4826,20000.0
CZMWY,USD,CARL ZEISS MEDIT-UNSPON ADR,46128781.0,XXXXXXXT1051,-8.3144,12.6444,2000.0
CZNC,USD,CITIZENS &amp; NORTHERN CORP,30210114.0,XXXXXXX21069,1.1998,3.1302,90000.0
CZOOF,USD,CAZOO GROUP LTD,667891523.0,KYG2007L1216,-988.841,993.171,25000.0
CZR,USD,CAESARS ENTERTAINMENT INC,435774408.0,XXXXXXXG1004,3.9219,0.4081,5200000.0
CZWI,USD,CITIZENS COMMUNITY BANCORP I,41545062.0,XXXXXXX31043,0.2557,4.0743,70000.0
D,USD,DOMINION ENERGY INC,6327.0,XXXXXXXU1097,3.9219,0.4081,
DAAT,USD,DAC TECH GROUP INTL INC,30210131.0,XXXXXXXR1077,4.08,0.25,5000.0
DAC,USD,DANAOS CORP,362047735.0,MHY1968P1218,3.4842,0.8458,400000.0
DADA,USD,DADA NEXUS LTD-ADR,425569439.0,XXXXXXXD1081,3.8883,0.4417,6800000.0
DAIO,USD,DATA I-O CORP,268301.0,XXXXXXX01029,-10.9953,15.3253,450000.0
DAKPQ,USD,DAKOTA PLAINS HOLDINGS INC,105203985.0,XXXXXXX51072,4.08,0.25,1500000.0
DAKT,USD,DAKTRONICS INC,4728903.0,XXXXXXX41097,4.0597,0.2703,350000.0
DAL,USD,DELTA AIR LINES INC.,44001820.0,XXXXXXX17023,3.9219,0.4081,
DALN,USD,DALLASNEWS CORP,498793459.0,XXXXXXX01019,3.3176,1.0124,150000.0
DAN,USD,DANA INC,49260419.0,XXXXXXX52052,3.9219,0.4081,2700000.0
DANOY,USD,DANONE-SPONS ADR,59863083.0,XXXXXXXT1007,1.355,2.975,200000.0
DANR,USD,DANA RESOURCES,49263020.0,XXXXXXX51043,4.08,0.25,1300000.0
DAO,USD,YOUDAO INC - ADR,388709073.0,XXXXXXXT1043,3.831,0.499,500000.0
DAPP,USD,VANECK DIGITAL TRANSFORMATIO,481863631.0,XXXXXXXH8218,1.6205,2.7095,70000.0
DAPR,USD,FT VEST U.S. EQUITY DEEP BUF,482685232.0,XXXXXXXU8027,0.8865,3.4435,6000.0
DAR,USD,DARLING INGREDIENTS INC,6604385.0,XXXXXXX61015,3.9291,0.4009,6100000.0
DARE,USD,DARE BIOSCIENCE INC,712857719.0,XXXXXXXP2002,3.1225,1.2075,500000.0
DARP,USD,GRIZZLE GROWTH ETF,650738778.0,XXXXXXXJ8577,-4.284,8.614,2000.0
DASH,USD,DOORDASH INC - A,459309417.0,XXXXXXXK1051,3.9868,0.3432,
DASTY,USD,DASSAULT SYSTEMES S-SPON ADR,4728915.0,XXXXXXX51083,3.9189,0.4111,100000.0
DAT,USD,PROSHARES BIG DATA REFINERS,517867320.0,XXXXXXXG4579,-7.2606,11.5906,10000.0
DATI,USD,DIGITAL ASSET MONETARY NETWO,186461280.0,XXXXXXXU1060,4.08,0.25,35000.0
DATS,USD,DATCHAT INC ,655443255.0,XXXXXXXM2061,-102.3158,106.6458,250000.0
DAVA,USD,ENDAVA PLC- SPON ADR,327314215.0,XXXXXXXV1052,3.9299,0.4001,3900000.0
DAVE,USD,DAVE INC,606796369.0,XXXXXXXJ2015,3.9435,0.3865,150000.0
DAVNQ,USD,DAVI SKIN INC,30210137.0,XXXXXXX81033,4.08,0.25,1000.0
DAWN,USD,DAY ONE BIOPHARMACEUTICALS I,493581440.0,XXXXXXXD1090,4.0483,0.2817,450000.0
DAX,USD,GLOBAL X DAX GERMANY ETF,346727821.0,XXXXXXXY4917,-14.7427,19.0727,10000.0
DAY,USD,DAYFORCE INC,315543544.0,XXXXXXXJ1088,4.08,0.25,850000.0
DB,USD,DEUTSCHE BANK AG-REGISTERED,13435352.0,DE0005140008,3.9499,0.3801,1100000.0
DBA,USD,INVESCO DB AGRICULTURE FUND,319355717.0,XXXXXXXH1068,3.4829,0.8471,500000.0
DBAW,USD,XTRACKERS MSCI ALL WORLD EX,142896459.0,XXXXXXX18208,-4.2051,8.5351,75000.0
DBB,USD,INVESCO DB BASE METALS FUND,319355727.0,XXXXXXXH7008,-0.4287,4.7587,200000.0
DBC,USD,INVESCO DB COMMODITY INDEX T,319355208.0,XXXXXXXB1035,3.9207,0.4093,900000.0
DBCCF,USD,DECIBEL CANNABIS CO INC,407644936.0,CA2434371001,-13.1016,17.4316,1400000.0
DBD,USD,DIEBOLD NIXDORF INC,647611140.0,XXXXXXX12021,4.0395,0.2905,750000.0
DBE,USD,INVESCO DB ENERGY FUND,319355729.0,XXXXXXXH3049,-12.9439,17.2739,45000.0
DBEF,USD,XTRACKERS MSCI EAFE HEDGED E,89380514.0,XXXXXXX12003,3.0426,1.2874,150000.0
DBEM,USD,XTRACKERS MSCI EMERGING MARK,89380519.0,XXXXXXX11013,-1.5774,5.9074,45000.0
DBEU,USD,XTRACKERS MSCI EUROPE HEDGED,135741455.0,XXXXXXX18539,-3.2812,7.6112,4000.0
DBEZ,USD,XTRACKERS MSCI EUROZONE HEDG,176477334.0,XXXXXXX16970,0.5877,3.7423,3000.0
DBGF,USD,PANEX RESOURCES INC,78735598.0,XXXXXXXJ1060,4.08,0.25,300000.0
DBGI,USD,DIGITAL BRANDS GROUP INC,747747784.0,XXXXXXXN5077,-116.6876,121.0176,25000.0
DBI,USD,DESIGNER BRANDS INC-CLASS A,358401411.0,XXXXXXX51081,3.9264,0.4036,6100000.0
DBIN,USD,DACOTAH BANKS INC,83814829.0,XXXXXXX21049,4.08,0.25,4000.0
DBJP,USD,XTRACKERS MSCI JAPAN HEDGED,89380520.0,XXXXXXX15071,-3.2011,7.5311,9000.0
DBL,USD,DOUBLELINE OPPORT CREDIT,101399760.0,XXXXXXX31076,0.3571,3.9729,70000.0
DBMF,USD,IMGP DBI MANAGED FUTURES STR,515416076.0,XXXXXXXT8273,3.8551,0.4749,850000.0
DBMG,USD,DBM GLOBAL INC,250140789.0,XXXXXXXP1066,-9.254,13.584,400.0
DBMM,USD,DIGITAL BRAND MEDIA &amp; MARKET,200043944.0,XXXXXXXH2031,-9.6437,13.9737,
DBND,USD,DOUBLELINE OPPORTUNISTIC CORE,554413227.0,XXXXXXXR1059,-3.7911,8.1211,10000.0
DBO,USD,INVESCO DB OIL FUND,319355742.0,XXXXXXXH4039,4.0039,0.3261,100000.0
DBOEY,USD,DEUTSCHE BOERSE AG-UNSPN ADR,54939805.0,XXXXXXX21061,-4.1754,8.5054,100.0
DBP,USD,INVESCO DB PRECIOUS METALS F,319355732.0,XXXXXXXH5028,-0.4272,4.7572,35000.0
DBRG,USD,DIGITALBRIDGE GROUP INC,578327143.0,XXXXXXXT6038,4.0672,0.2628,5300000.0
DBRG PRH,USD,PFD DIGITALBRIDGE GRO BE&lt;,498808818.0,XXXXXXXT5048,-16.7521,21.0821,75000.0
DBRG PRI,USD,DIGITALBRIDGE GROUP INC,498808220.0,XXXXXXXT4058,-6.2716,10.6016,65000.0
DBRG PRJ,USD,PFD DIGITALBRIDGE GRO BE&lt;,498808809.0,XXXXXXXT3068,-2.504,6.834,45000.0
DBRM,USD,DAYBREAK OIL &amp; GAS INC,30210144.0,XXXXXXX91074,4.08,0.25,1100000.0
DBSDY,USD,DBS GROUP HOLDINGS-SPON ADR,46956111.0,XXXXXXXY1001,4.0209,0.3091,30000.0
DBTB,USD,DEBUT BROADCASTING CORP INC,44568405.0,XXXXXXXP1012,4.08,0.25,300000.0
DBVT,USD,DBV TECHNOLOGIES SA-SPON ADR,744874061.0,XXXXXXXJ3095,-116.2807,120.6107,50000.0
DBX,USD,DROPBOX INC-CLASS A,311892159.0,XXXXXXXC1045,4.0466,0.2834,4200000.0
DC,USD,DAKOTA GOLD CORP,554413220.0,XXXXXXXE1001,3.6774,0.6526,900000.0
DCAC,USD,DANIELS CORPORATE ADVISORY C,385336672.0,XXXXXXX82080,4.08,0.25,
DCBO,USD,DOCEBO INC,458549817.0,CA25609L1058,3.9435,0.3865,100000.0
DCDC,USD,DIGITAL CREATIVE DEVELOPMENT,47488724.0,XXXXXXXB1089,4.08,0.25,1200000.0
DCFCQ,USD,TRITIUM DCFC LTD,694151607.0,AU0000325136,-21.7542,26.0842,55000.0
DCGO,USD,DOCGO INC,525260308.0,XXXXXXX61096,4.0651,0.2649,2600000.0
DCHIY,USD,DIGITAL CHINA HD LTD-UNP ADR,108730271.0,XXXXXXXX1000,4.08,0.25,100.0
DCI,USD,DONALDSON CO INC,6353.0,XXXXXXX11099,3.9625,0.3675,2200000.0
DCLIF,USD,DISCOVERY LITHIUM INC,651369255.0,CA25472M1077,-10.6026,14.9326,500000.0
DCLT,USD,DATA CALL TECHNOLOGIES INC,103312887.0,XXXXXXX12082,4.08,0.25,2000000.0
DCMDF,USD,DATA COMMUNICATIONS MANAGEME,560793191.0,CA23761M1023,-0.0041,4.3341,20000.0
DCMT,USD,DOUBLELINE COMMODITY ETF,681352393.0,XXXXXXXR5019,-10.6435,14.9735,15000.0
DCNMQ,USD,DNC MULTIMEDIA CORP,48123869.0,XXXXXXXG1058,4.08,0.25,400000.0
DCNNF,USD,QUEST CRITICAL METALS INC,671082655.0,CA74840A1066,-2.736,7.066,10000.0
DCO,USD,DUCOMMUN INC,2585711.0,XXXXXXX71097,3.9219,0.4081,600000.0
DCOM,USD,DIME COMMUNITY BANCSHARES IN,468760665.0,XXXXXXXX1028,4.074,0.256,1200000.0
DCOMG,USD,DIME COMMUNITY BANCSHARES INC,713921503.0,XXXXXXXX3008,-13.7278,18.0578,15000.0
DCOMP,USD,DIME COMMUNITY BANCSHARES INC,468791163.0,XXXXXXXX2018,-14.0264,18.3564,60000.0
DCOR,USD,DIMENSIONAL US CORE EQ 1 ETF,653576406.0,XXXXXXXV6258,-6.9906,11.3206,20000.0
DCRE,USD,DOUBLELINE COMM RL EST ETF,624056269.0,XXXXXXXR3030,3.5041,0.8259,10000.0
DCSX,USD,DIRECT COMMUNICATION SOLUTIO,613025488.0,XXXXXXXP2039,-1.4147,5.7447,200.0
DCTH,USD,DELCATH SYSTEMS INC,388549086.0,XXXXXXXP8077,3.6919,0.6381,1200000.0
DCTIF,USD,DELTA CLEANTECH INC,549159786.0,CA24747L1013,-1.7499,6.0799,10000.0
DD,USD,DUPONT DE NEMOURS INC,365921621.0,XXXXXXXN1028,3.9219,0.4081,
DDC,USD,DDC ENTERPRISE LTD,666021869.0,KYG276AC1010,-7.2256,11.5556,800000.0
DDCC,USD,DOUBLE CROWN RESOURCES INC,97309903.0,XXXXXXXH1032,4.08,0.25,800000.0
DDD,USD,3D SYSTEMS CORP,6542334.0,XXXXXXXD2053,3.9124,0.4176,2000000.0
DDDX,USD,3DX INDUSTRIES INC,139111268.0,XXXXXXXA1007,4.08,0.25,1200000.0
DDEJF,USD,DUNDEE CORP -CL A,45567269.0,CA2649011095,2.1531,2.1769,70000.0
DDEQ,USD,DIAMOND EQUITIES INC,51171256.0,XXXXXXX21001,4.08,0.25,65000.0
DDI,USD,DOUBLEDOWN INTERACTIVE -ADR,430797705.0,XXXXXXXB1098,-4.8102,9.1402,300000.0
DDIV,USD,FIRST TRUST DORSEY WRIGHT MO,332383555.0,XXXXXXXR6962,-9.1626,13.4926,35000.0
DDL,USD,DINGDONG CAYMAN LTD -SPN ADR,499640641.0,XXXXXXXD1019,3.9219,0.4081,2700000.0
DDLS,USD,WISDOMTREE DY CUR HDG SCP EQ,218130624.0,XXXXXXXX2716,-29.8713,34.2013,85000.0
DDM,USD,PROSHARES ULTRA DOW30,39622916.0,XXXXXXXR3057,2.2826,2.0474,55000.0
DDMGQ,USD,DIGITAL DOMAIN MEDIA GROUP I,97497215.0,XXXXXXXU1043,3.7781,0.5519,500000.0
DDNFF,USD,ADAMERA MINERALS CORP,709034309.0,CA00547Y2042,3.9435,0.3865,70000.0
DDOG,USD,DATADOG INC - CLASS A,383858515.0,XXXXXXXL1035,3.9219,0.4081,9400000.0
DDS,USD,DILLARDS INC-CL A,6390.0,XXXXXXX71011,3.8353,0.4947,6000.0
DDT,USD,DILLARDS CAP TST I 7.50%CP SEC,6607842.0,XXXXXXXP2002,-9.0992,13.4292,45000.0
DE,USD,DEERE &amp; CO,6393.0,XXXXXXX91054,3.9902,0.3398,6500000.0
DEA,USD,EASTERLY GOVERNMENT PROPERTI,182880560.0,XXXXXXXP1030,4.0231,0.3069,1500000.0
DEC,USD,DIVERSIFIED ENERGY CO PLC,672767548.0,GB00BQHP5P93,1.6683,2.6617,500000.0
DECA,USD,DENALI CAPITAL ACQUISITION-A,564701607.0,KYG6256B1068,-76.2715,80.6015,45000.0
DECK,USD,DECKERS OUTDOOR CORP,268376.0,XXXXXXX71073,4.0031,0.3269,4700000.0
DECM,USD,FT VEST US EQ MAX BUF DEC,749849641.0,XXXXXXXU4976,-49.9337,54.2637,500.0
DECN,USD,DECISION DIAGNOSTICS CORP,98390793.0,XXXXXXX31084,2.2749,2.0551,300000.0
DECT,USD,ALLIANZIM US LC BUFFER10 DEC,600686658.0,XXXXXXXH8363,-7.9071,12.2371,2000.0
DECZ,USD,TRUESHARES STRUC OUT DEC ETF,458209498.0,XXXXXXXF6723,-30.2389,34.5689,10000.0
DEED,USD,FIRST TRUST TCW SEC PLUS ETF,419875471.0,XXXXXXXU1097,-3.4041,7.7341,50000.0
DEEP,USD,ACQUIRERS DEEP VALUE ETF,167259933.0,XXXXXXXA7019,-6.99,11.32,20000.0
DEER,USD,DEER CONSUMER PRODUCTS INC,59732951.0,XXXXXXXJ2006,1.6713,2.6587,950000.0
DEFG,USD,GRAYSCALE DECENTRALIZED FINA,611462843.0,KYG4070G1047,-5.3569,9.6869,3000.0
DEFI,USD,HASHDEX BITCOIN ETF,675615020.0,XXXXXXXV1008,-8.1498,12.4798,1000.0
DEFTF,USD,DEFI TECHNOLOGIES INC,641104407.0,CA2449161025,-1.2958,5.6258,1100000.0
DEHP,USD,DIMENSIONAL EMERGING MARKETS,558456266.0,XXXXXXXV7579,-1.2329,5.5629,60000.0
DEI,USD,DOUGLAS EMMETT INC,41235770.0,XXXXXXXP1093,4.0612,0.2688,2500000.0
DELCF,USD,DELIC HOLDINGS CORP,517423745.0,CA24689E1079,4.08,0.25,20000.0
DELHY,USD,DELIVERY HERO SE - UNSP ADR,476357968.0,XXXXXXXM1036,-67.0416,71.3716,90000.0
DELKY,USD,DELEK GROUP LTD-UNSPON ADR,470273058.0,XXXXXXXR2067,-0.4948,4.8248,15000.0
DELL,USD,DELL TECHNOLOGIES -C,346218218.0,XXXXXXXL2025,4.08,0.25,7600000.0
DEM,USD,WISDOMTREE EMERGING MARKETS,45138765.0,XXXXXXXW3152,3.3715,0.9585,650000.0
DEMO,USD,DEMOCRASOFT HOLDINGS INC,74794383.0,XXXXXXXV1008,4.08,0.25,50000.0
DEMRF,USD,AMERICAN TUNGSTEN CORP,756197080.0,CA0303381077,-2.6939,7.0239,1000.0
DEMZ,USD,DEMOCRATIC LARGE CAP CORE,453313506.0,XXXXXXXQ3469,-6.1781,10.5081,8000.0
DENG,USD,DELTA ENTERTAINMENT GROUP IN,75430863.0,XXXXXXXC1099,4.08,0.25,40000.0
DENI,USD,DENALI BANCORPORATION INC,144308428.0,XXXXXXX91077,-1.4598,5.7898,6000.0
DENN,USD,DENNY'S CORPORATION,14270526.0,XXXXXXXP1049,4.08,0.25,850000.0
DEQI,USD,DIRECT EQUITY INTERNATIONAL,75220429.0,XXXXXXXT1016,4.08,0.25,750000.0
DERM,USD,JOURNEY MEDICAL CORP,526175559.0,XXXXXXXJ1097,3.4609,0.8691,900000.0
DES,USD,WISDOMTREE US SMALLCAP DIVID,39615644.0,XXXXXXXW6049,3.1481,1.1819,150000.0
DESK,USD,VANECK OFFICE AND COMMERCIAL,655443303.0,XXXXXXXH7145,-5.5119,9.8419,200.0
DESP,USD,DESPEGAR.COM CORP,289903523.0,VGG273581030,4.08,0.25,3300000.0
DEUS,USD,XTRACKERS RUSSELL US MULTI,213617369.0,XXXXXXX14819,0.0673,4.2627,1000.0
DEVM,USD,DEVMAR EQUITIES INC,353660044.0,XXXXXXXT1097,4.08,0.25,60000.0
DEVS,USD,DEVVSTREAM CORP,740060276.0,CA2519361000,-128.4293,132.7593,300000.0
DEW,USD,WISDOMTREE GLOBAL HIGH DIVID,39615663.0,XXXXXXXW8771,-2.9305,7.2605,5000.0
DEWM,USD,DEWMAR INTERNATIONAL BMC INC,107375319.0,XXXXXXXR1023,4.08,0.25,6100000.0
DEWY,USD,DEWEY ELECTRONICS CORP,30210207.0,XXXXXXX31027,4.08,0.25,1000.0
DEXC,USD,DIMENSIONAL EM EX CCE ETF,741477855.0,XXXXXXXV5342,-15.3064,19.6364,100.0
DFAC,USD,DIMENSIONAL US CORE EQUITY 2,496646865.0,XXXXXXXV7082,3.8466,0.4834,4000000.0
DFAE,USD,DIMENSIONAL EMERGING CORE EQ,458378551.0,XXXXXXXV3024,3.7811,0.5489,9100000.0
DFAI,USD,DIMENSIONAL INTERNATIONAL CO,455801512.0,XXXXXXXV2034,3.7933,0.5367,950000.0
DFAR,USD,DIMENSIONAL US REAL EST ETF,546347206.0,XXXXXXXV8239,-0.1576,4.4876,100000.0
DFAS,USD,DIMENSIONAL US SMALL CAP ETF,496646875.0,XXXXXXXV5003,3.7872,0.5428,750000.0
DFAT,USD,DIMENSIONAL US TARGET VALUE,496646878.0,XXXXXXXV6092,3.2269,1.1031,2300000.0
DFAU,USD,DIMENSIONAL US CORE EQUITY M,455801517.0,XXXXXXXV1044,3.8432,0.4868,400000.0
DFAW,USD,DIMENSTIONAL WORLD EQTY ETF,656379370.0,XXXXXXXV6175,-2.4257,6.7557,6000.0
DFAX,USD,DIMENSIONAL WORLD EX US CORE,513880552.0,XXXXXXXV8809,3.8774,0.4526,1400000.0
DFCF,USD,DIMENSIONAL CORE FIXED INC,526470278.0,XXXXXXXV8726,3.6693,0.6607,100000.0
DFCO,USD,DALRADA FINANCIAL CORP,40784237.0,XXXXXXX64031,4.0611,0.2689,800000.0
DFE,USD,WISDOMTREE EUR S-C DIVIDEND,39615653.0,XXXXXXXW8698,-7.5312,11.8612,20000.0
DFEB,USD,FT VEST U.S. EQUITY DEEP BUF,404810128.0,XXXXXXXF7713,-5.6368,9.9668,9000.0
DFEL,USD,CHINA TMK BATTERY SYSTEMS IN,617155546.0,XXXXXXX63092,4.08,0.25,2000.0
DFEM,USD,DIMENSIONAL EMERGING MARKETS,558456248.0,XXXXXXXV7322,3.4002,0.9298,650000.0
DFEN,USD,DRX DLY AERO &amp; DEF BULL 3X,274859269.0,XXXXXXXE6611,3.8082,0.5218,100000.0
DFEV,USD,DIMENSIONAL EMERGING MARKETS,558456261.0,XXXXXXXV7405,-0.0198,4.3498,350000.0
DFGP,USD,DIM GLOBAL CP FIXED INCOME,664690514.0,XXXXXXXV5839,-8.3792,12.7092,55000.0
DFGR,USD,DIM GLOBAL REAL ESTATE ETF,601496539.0,XXXXXXXV6589,-7.5312,11.8612,300000.0
DFGX,USD,DIM GBL EX US C FIXED INC,664690520.0,XXXXXXXV5755,-10.8472,15.1772,300.0
DFH,USD,DREAM FINDERS HOMES INC - A,466860974.0,XXXXXXXD1000,3.9277,0.4023,75000.0
DFIC,USD,DIMENSIONAL INTERNATIONAL CO,552592672.0,XXXXXXXV7991,-0.0444,4.3744,600000.0
DFIHY,USD,DFI RETAIL GRP HLDG-UNSP ADR,75218754.0,XXXXXXX94045,4.08,0.25,200.0
DFIN,USD,DONNELLEY FINANCIAL SOLUTION,247915711.0,XXXXXXXG1004,4.0337,0.2963,1200000.0
DFIP,USD,DIMENSIONAL INFLATION-PROTEC,526470281.0,XXXXXXXV8569,-3.1151,7.4451,40000.0
DFIS,USD,DIMENSIONAL INTERNATIONAL SM,552592682.0,XXXXXXXV7736,-1.5809,5.9109,350000.0
DFIV,USD,DIMENSIONAL INTERNATIONAL VA,513880551.0,XXXXXXXV8072,3.9185,0.4115,2000000.0
DFJ,USD,WISDOMTREE JPN S-C DVD FUND,39615658.0,XXXXXXXW8367,-4.0435,8.3735,100000.0
DFKCY,USD,DAIFUKU CO LTD - UNSP ADR,401143915.0,XXXXXXX21072,-3.7177,8.0477,100000.0
DFLI,USD,DRAGONFLY ENERGY HOLDINGS CO,743754212.0,XXXXXXXB3042,-15.8326,20.1626,25000.0
DFLV,USD,DIM US LARGE CAP VALUE ETF,601496542.0,XXXXXXXV6662,-5.4023,9.7323,150000.0
DFLY,USD,DREAMFLY PRODUCTIONS CORP,67871284.0,XXXXXXXG1040,4.08,0.25,900.0
DFMTF,USD,DEFENSE METALS CORP,364071937.0,CA2446331035,-10.488,14.818,350000.0
DFND,USD,SIREN DIVCON DIVIDEND DEFEND,455287833.0,XXXXXXX84001,1.129,3.201,2000.0
DFNL,USD,DAVIS SELECT FINANCIAL ETF,262072215.0,XXXXXXXL1089,-1.9021,6.2321,5000.0
DFNM,USD,DIMENSIONAL NATIONAL MUNI BD,526470284.0,XXXXXXXV8494,2.2295,2.1005,60000.0
DFNS.OLD1,USD,DEFENSE INDUSTRIES INTERNATI,30210211.0,XXXXXXX21059,4.08,0.25,15000.0
DFP,USD,FLAHERTY &amp; CRUMRINE DYNAMIC,128474781.0,XXXXXXXW1062,-4.9649,9.2949,150000.0
DFS,USD,DISCOVER FINANCIAL SERVICES,44652220.0,XXXXXXX91080,4.08,0.25,5700000.0
DFSB,USD,DIM GLB SUSTAIN FIX INC ETF,597691588.0,XXXXXXXV6746,-7.3959,11.7259,15000.0
DFSD,USD,DIMENSIONAL SHORT DURATION,526470290.0,XXXXXXXV8643,1.2106,3.1194,200000.0
DFSE,USD,DIMENSIONAL EM SUS CORE1 ETF,595177782.0,XXXXXXXV6829,-3.9589,8.2889,90000.0
DFSI,USD,DIMENSIONAL INT SUS COR1 ETF,595177785.0,XXXXXXXV6902,-12.3766,16.7066,2000.0
DFSU,USD,DIMENSIONAL US SUS CORE1 ETF,595177788.0,XXXXXXXV7165,-3.192,7.522,65000.0
DFSV,USD,DIMENSIONAL US SMALL CAP VAL,546347209.0,XXXXXXXV8155,3.936,0.394,400000.0
DFTC,USD,DEFENTECT GROUP INC,73989081.0,XXXXXXX91003,4.08,0.25,100000.0
DFUS,USD,DIMENSIONAL US EQ MKT ETF,496646868.0,XXXXXXXV4014,3.8539,0.4761,650000.0
DFUV,USD,DIMENSIONAL US MARKETWIDE VA,560578180.0,XXXXXXXV7249,3.3933,0.9367,3000000.0
DFVE,USD,DOUBLELINE FORTUNE 500 EQUAL,681352396.0,XXXXXXXR6009,-21.0628,25.3928,60000.0
DFVX,USD,DIM US LARGE CAP VECTOR ETF,663373293.0,XXXXXXXV6415,-33.3232,37.6532,25000.0
DG,USD,DOLLAR GENERAL CORP,70212228.0,XXXXXXX71059,3.9219,0.4081,6900000.0
DGCB,USD,DIMENSIONAL GLOBAL CREDIT,664690519.0,XXXXXXXV5672,-9.155,13.485,1000.0
DGCRF,USD,DIAGNOCURE INC,75269846.0,CA2519121016,4.08,0.25,450000.0
DGCT,USD,DIGITAL COMMUNICATIONS TECH,56966464.0,XXXXXXX52012,4.08,0.25,25000.0
DGDCF,USD,DYNASTY GOLD CORP,288336409.0,CA2681322061,0.4912,3.8388,2000.0
DGHG,USD,DIVERSIFIED GLOBAL HOLDINGS,80789261.0,XXXXXXX81089,4.08,0.25,35000.0
DGHI,USD,DIGIHOST TECHNOLOGY INC,523222459.0,CA25381D2068,-12.2312,16.5612,400000.0
DGICA,USD,DONEGAL GROUP INC-CL A,14487825.0,XXXXXXX12014,2.8714,1.4586,250000.0
DGICB,USD,DONEGAL GROUP INC-B,268436.0,XXXXXXX13004,-5.9262,10.2562,2000.0
DGIF,USD,D7 ENTERPRISES INC,405517437.0,XXXXXXXP1021,4.08,0.25,300.0
DGII,USD,DIGI INTERNATIONAL INC,268443.0,XXXXXXX81027,3.9219,0.4081,850000.0
DGIN,USD,VANECK DIGITAL INDIA ETF,544787251.0,XXXXXXXH7897,-7.9913,12.3213,9000.0
DGIX,USD,DYNA GROUP INTL INC,30210226.0,XXXXXXX21036,4.08,0.25,1000.0
DGLPQ,USD,DIGITALPOST INTERACTIVE INC,42758853.0,XXXXXXXD1046,4.08,0.25,650000.0
DGLY,USD,DIGITAL ALLY INC-NV,612860160.0,XXXXXXXT2006,-23.9251,28.2551,300000.0
